global_step, cost, loss, regul, learning_rate, Prob, Trace, regularized/alpha
29, -0.179634378236, -0.313986459512, 0.134352081276, 0.1, 0.313986459512, 0.999998392082, 0.733081390503
30, -0.179714784664, -0.315158585921, 0.135443801256, 0.1, 0.315158585921, 0.999998304801, 0.736053805795
31, -0.179768815446, -0.316111036125, 0.136342220679, 0.1, 0.316111036125, 0.999998230036, 0.738490949651
32, -0.179805055531, -0.316885408373, 0.137080352842, 0.1, 0.316885408373, 0.999998166566, 0.74048727968
33, -0.179829326588, -0.317515313354, 0.137685986765, 0.1, 0.317515313354, 0.999998113079, 0.742121248221
34, -0.179845562011, -0.318027930509, 0.138182368498, 0.1, 0.318027930509, 0.999998068275, 0.743457782252
35, -0.179856411612, -0.318445259775, 0.138588848163, 0.1, 0.318445259775, 0.999998030926, 0.74455046347
36, -0.179863656302, -0.31878512621, 0.138921469908, 0.1, 0.31878512621, 0.999997999917, 0.745443411421
37, -0.179868490752, -0.319061985858, 0.139193495106, 0.1, 0.319061985858, 0.999997974254, 0.746172889097
38, -0.179871715151, -0.319287572672, 0.139415857521, 0.1, 0.319287572672, 0.999997953073, 0.746768659014
39, -0.1798738648, -0.319471418436, 0.139597553636, 0.1, 0.319471418436, 0.999997935629, 0.747255120118
40, -0.179875297448, -0.319621271288, 0.13974597384, 0.1, 0.319621271288, 0.999997921287, 0.747652255637
41, -0.179876251986, -0.319743433154, 0.139867181169, 0.1, 0.319743433154, 0.999997909513, 0.747976419866
42, -0.179876887831, -0.319843032234, 0.139966144403, 0.1, 0.319843032234, 0.999997899859, 0.748240988994
43, -0.179877311315, -0.319924243332, 0.140046932017, 0.1, 0.319924243332, 0.99999789195, 0.748456897937
44, -0.179877593323, -0.319990466293, 0.14011287297, 0.1, 0.319990466293, 0.999997885477, 0.748633082277
45, -0.179877781101, -0.320044470695, 0.140166689594, 0.1, 0.320044470695, 0.999997880181, 0.748776841506
46, -0.179877906126, -0.320088513211, 0.140210607085, 0.1, 0.320088513211, 0.999997875851, 0.748894136938
47, -0.179877989365, -0.320124432976, 0.140246443611, 0.1, 0.320124432976, 0.999997872313, 0.748989836009
48, -0.179878044782, -0.320153729072, 0.140275684289, 0.1, 0.320153729072, 0.999997869422, 0.749067912246
49, -0.179878081677, -0.320177623602, 0.140299541924, 0.1, 0.320177623602, 0.999997867061, 0.749131609063
50, -0.179878106241, -0.320197112938, 0.140319006697, 0.1, 0.320197112938, 0.999997865132, 0.74918357349
